TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
13.94207,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
14.01984,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
32.96408,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
33.06408,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
66.21926,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
67.09703,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
74.73028,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
75.43027,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
88.75235,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
89.35234,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
99.95222,1,Training,11,Floor,Body,TaskBoard Button,Start
125.5853,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
132.0741,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
132.5296,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
133.3963,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
134.5074,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
134.9407,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
134.9741,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
134.9963,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.0296,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.0629,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.0852,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.1185,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.1518,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.1741,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.1963,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.2296,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.2518,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.274,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.3074,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.3296,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.3629,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.3963,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.4185,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.4518,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.4852,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.5074,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.5296,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.5629,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.5852,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.6074,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.6407,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.6629,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.6963,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.7296,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.7518,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.7852,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.8185,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.8407,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
135.8629,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
136.4185,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
136.974,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.0074,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.0296,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.0629,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.0963,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.1185,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.1407,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.174,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.1963,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.2185,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MAX1
137.2407,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
138.6185,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
139.074,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
140.574,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
143.0073,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
167.0737,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
167.4181,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
168.107,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
168.4404,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
169.3403,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.3626,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.3959,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.4181,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.4403,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.4737,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.4959,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.5181,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
169.5181,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.5515,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.5737,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.607,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.6292,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.6514,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.6737,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.707,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.7292,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.7514,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.7848,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.807,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.8403,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.8625,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.8848,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.8848,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
169.907,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.907,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
169.9292,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.9292,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
169.9626,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.9626,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
169.9848,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
169.9848,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.007,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.007,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.0403,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.0403,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.0625,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.0625,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.0959,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.0959,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.1181,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.1181,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.1403,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.1403,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.1737,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.1737,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.1959,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.1959,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.2181,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.2181,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.2514,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
170.2514,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.2514,1,Training,11,Floor,Body,Foot Interaction,Right Sliding MIN2
170.2737,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.307,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.3292,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.3514,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.3848,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.407,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.4292,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.4514,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.4848,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.507,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.5292,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.5625,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.5848,1,Training,11,Floor,Body,Foot Interaction,Left Sliding MIN3
170.607,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
171.2848,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
172.107,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
183.6735,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
184.5624,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
184.9068,1,Training,11,Floor,Body,Foot Interaction,Left Foot Press
185.3513,1,Training,11,Floor,Body,Foot Interaction,Right Foot Press
186.9624,1,Training,11,Floor,Body,TaskBoard Button,Answer
187.8735,1,Training,11,Floor,Body,TaskBoard Button,Confirm
187.8735,1,Training,11,Floor,Body,Completion,87.02873
190.5512,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
194.129,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
195.5178,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
195.9956,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
197.4622,2,1,11,Floor,Body,TaskBoard Button,Start
219.8953,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
220.5398,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
220.9953,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
221.8175,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
222.1286,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
224.6619,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
225.0175,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
225.3397,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
225.673,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
227.5841,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
227.8508,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
228.4397,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
239.6173,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
240.1173,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
240.8618,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
241.2729,2,1,11,Floor,Body,Foot Interaction,Left Foot Press
241.8395,2,1,11,Floor,Body,Foot Interaction,Right Foot Press
241.9506,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
241.9729,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
241.9951,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.0062,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.0284,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.0395,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.0618,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.084,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.0951,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.1173,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.1395,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.1618,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.1729,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.1951,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.2173,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.2395,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.2506,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.2729,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.2951,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.3173,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.3284,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.3506,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.3618,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.384,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.4062,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.4173,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
242.4395,2,1,11,Floor,Body,Foot Interaction,Right Sliding YB2
