TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
19.0309,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
19.61978,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
21.70865,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
23.3753,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
24.40862,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
27.09748,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
28.86412,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
31.41965,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
36.79737,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
37.27514,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
55.53049,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
56.67493,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
62.29708,1,Training,9,Shelves,Shelves,TaskBoard Button,Start
72.39697,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
73.65251,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
157.3294,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
169.3959,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
173.9847,1,Training,9,Shelves,Shelves,Hand Interaction,MIN1 Selected
176.0292,1,Training,9,Shelves,Shelves,Hand Interaction,MAX1 Selected
178.1402,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
178.8847,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
183.9402,1,Training,9,Shelves,Shelves,Hand Interaction,MAX2 Selected
190.1846,1,Training,9,Shelves,Shelves,Hand Interaction,MAX1 Selected
193.0956,1,Training,9,Shelves,Shelves,Hand Interaction,MAX2 Selected
194.2845,1,Training,9,Shelves,Shelves,Hand Interaction,MAX2 Selected
195.8734,1,Training,9,Shelves,Shelves,Hand Interaction,MAX1 Selected
199.6511,1,Training,9,Shelves,Shelves,Hand Interaction,MAX2 Selected
200.2955,1,Training,9,Shelves,Shelves,Hand Interaction,MAX2 Selected
201.1178,1,Training,9,Shelves,Shelves,Hand Interaction,MAX1 Selected
201.5067,1,Training,9,Shelves,Shelves,Hand Interaction,MAX1 Selected
202.44,1,Training,9,Shelves,Shelves,Foot Interaction,Right Foot Press
204.4177,1,Training,9,Shelves,Shelves,Hand Interaction,MAX3 Selected
204.8622,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
210.1732,1,Training,9,Shelves,Shelves,Hand Interaction,MIN2 Selected
210.6954,1,Training,9,Shelves,Shelves,Hand Interaction,MIN1 Selected
211.351,1,Training,9,Shelves,Shelves,Hand Interaction,MIN3 Selected
211.3954,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
223.2397,1,Training,9,Shelves,Shelves,Foot Interaction,Left Foot Press
223.2731,1,Training,9,Shelves,Shelves,TaskBoard Button,Answer
224.6619,1,Training,9,Shelves,Shelves,TaskBoard Button,Confirm
224.6619,1,Training,9,Shelves,Shelves,Completion,161.0022
227.4508,2,1,9,Shelves,Shelves,TaskBoard Button,Start
240.9951,2,1,9,Shelves,Shelves,Hand Interaction,MAX3 Selected
252.6283,2,1,9,Shelves,Shelves,Foot Interaction,Right Foot Press
256.3838,2,1,9,Shelves,Shelves,Hand Interaction,MAX2 Selected
257.0616,2,1,9,Shelves,Shelves,Hand Interaction,MAX1 Selected
275.0392,2,1,9,Shelves,Shelves,Hand Interaction,YB2 Selected
275.4391,2,1,9,Shelves,Shelves,Hand Interaction,YB1 Selected
276.4836,2,1,9,Shelves,Shelves,Hand Interaction,YB3 Selected
289.4723,2,1,9,Shelves,Shelves,TaskBoard Button,Answer
290.239,2,1,9,Shelves,Shelves,TaskBoard Button,Confirm
290.239,2,1,9,Shelves,Shelves,Completion,62.01608
291.4723,3,2,9,Shelves,Shelves,TaskBoard Button,Start
296.9278,3,2,9,Shelves,Shelves,Foot Interaction,Right Foot Press
299.6833,3,2,9,Shelves,Shelves,Hand Interaction,LS1 Selected
300.4944,3,2,9,Shelves,Shelves,Hand Interaction,BR3 Selected
301.25,3,2,9,Shelves,Shelves,Hand Interaction,LS3 Selected
304.6388,3,2,9,Shelves,Shelves,Hand Interaction,LS2 Selected
306.4166,3,2,9,Shelves,Shelves,Hand Interaction,LS1 Selected
353.9383,3,2,9,Shelves,Shelves,Foot Interaction,Right Foot Press
355.1049,3,2,9,Shelves,Shelves,Hand Interaction,BR1 Selected
355.6827,3,2,9,Shelves,Shelves,Foot Interaction,Left Foot Press
356.0716,3,2,9,Shelves,Shelves,Hand Interaction,BR2 Selected
358.0716,3,2,9,Shelves,Shelves,Hand Interaction,BR3 Selected
370.3159,3,2,9,Shelves,Shelves,TaskBoard Button,Answer
371.227,3,2,9,Shelves,Shelves,TaskBoard Button,Confirm
371.227,3,2,9,Shelves,Shelves,Completion,78.84786
372.8381,4,3,9,Shelves,Shelves,TaskBoard Button,Start
379.2491,4,3,9,Shelves,Shelves,Foot Interaction,Right Foot Press
389.2823,4,3,9,Shelves,Shelves,Hand Interaction,YB1 Selected
390.0934,4,3,9,Shelves,Shelves,Hand Interaction,YB1 Selected
390.6379,4,3,9,Shelves,Shelves,Hand Interaction,YB1 Selected
391.7934,4,3,9,Shelves,Shelves,Hand Interaction,YB2 Selected
395.1156,4,3,9,Shelves,Shelves,Hand Interaction,YB3 Selected
408.0599,4,3,9,Shelves,Shelves,Foot Interaction,Right Foot Press
411.0154,4,3,9,Shelves,Shelves,Hand Interaction,YB4 Selected
415.3598,4,3,9,Shelves,Shelves,Hand Interaction,YB5 Selected
416.2932,4,3,9,Shelves,Shelves,Foot Interaction,Left Foot Press
416.3932,4,3,9,Shelves,Shelves,Hand Interaction,YB6 Selected
427.0375,4,3,9,Shelves,Shelves,Foot Interaction,Right Foot Press
428.5263,4,3,9,Shelves,Shelves,Foot Interaction,Right Foot Press
429.2263,4,3,9,Shelves,Shelves,Foot Interaction,Left Foot Press
431.1152,4,3,9,Shelves,Shelves,Foot Interaction,Left Foot Press
437.8484,4,3,9,Shelves,Shelves,Foot Interaction,Right Foot Press
444.5484,4,3,9,Shelves,Shelves,Foot Interaction,Right Foot Press
476.9591,4,3,9,Shelves,Shelves,Foot Interaction,Left Foot Press
525.3253,4,3,9,Shelves,Shelves,TaskBoard Button,Answer
527.0142,4,3,9,Shelves,Shelves,TaskBoard Button,Confirm
527.0142,4,3,9,Shelves,Shelves,Completion,152.4905
531.6363,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
543.1473,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
544.0806,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
544.725,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
545.6251,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
546.2584,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
547.2473,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
547.9139,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
579.7136,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1476.615,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1479.359,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1479.926,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1481.37,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1483.048,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1483.681,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1484.492,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1485.181,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1486.292,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1486.881,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1487.692,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1495.003,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1495.548,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1496.615,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1497.17,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1513.659,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1525.436,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1526.903,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1529.892,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1530.681,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1538.47,5,Training,9,Body,Shelves,TaskBoard Button,Start
1546.214,5,Training,9,Body,Shelves,Hand Interaction,MAX3 Selected
1548.636,5,Training,9,Body,Shelves,Hand Interaction,MAX2 Selected
1550.425,5,Training,9,Body,Shelves,Hand Interaction,MAX1 Selected
1574.591,5,Training,9,Body,Shelves,Hand Interaction,MIN1 Selected
1575.525,5,Training,9,Body,Shelves,Hand Interaction,MIN3 Selected
1578.302,5,Training,9,Body,Shelves,Hand Interaction,MIN2 Selected
1597.602,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1598.624,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1599.958,5,Training,9,Body,Shelves,Foot Interaction,Left Foot Press
1605.091,5,Training,9,Body,Shelves,Foot Interaction,Right Foot Press
1609.88,5,Training,9,Body,Shelves,TaskBoard Button,Answer
1613.058,5,Training,9,Body,Shelves,TaskBoard Button,Confirm
1613.058,5,Training,9,Body,Shelves,Completion,71.41155
1615.569,6,4,9,Body,Shelves,TaskBoard Button,Start
1622.535,6,4,9,Body,Shelves,Foot Interaction,Right Foot Press
1624.846,6,4,9,Body,Shelves,Hand Interaction,MAX1 Selected
1626.846,6,4,9,Body,Shelves,Hand Interaction,MAX2 Selected
1628.835,6,4,9,Body,Shelves,Foot Interaction,Left Foot Press
1632.98,6,4,9,Body,Shelves,Hand Interaction,MAX3 Selected
1640.646,6,4,9,Body,Shelves,Foot Interaction,Right Foot Press
1641.324,6,4,9,Body,Shelves,Foot Interaction,Left Foot Press
1642.057,6,4,9,Body,Shelves,Foot Interaction,Right Foot Press
1648.757,6,4,9,Body,Shelves,Foot Interaction,Left Foot Press
