TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
23.43085,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
23.67529,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
80.74133,1,Training,10,Body,Shelves,TaskBoard Button,Start
82.15242,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
83.35241,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
83.99684,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
115.0521,1,Training,10,Body,Shelves,Hand Interaction,MIN2 Selected
135.0185,1,Training,10,Body,Shelves,Hand Interaction,MAX3 Selected
140.8073,1,Training,10,Body,Shelves,Hand Interaction,MAX1 Selected
144.9962,1,Training,10,Body,Shelves,Hand Interaction,MAX2 Selected
146.9517,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
147.7961,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
148.5961,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
151.985,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
152.4961,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
157.2405,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
157.7516,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
158.4294,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
158.9627,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
159.8293,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
160.4404,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
164.2959,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
165.0404,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
165.7293,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
167.0404,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
167.7959,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
172.7514,1,Training,10,Body,Shelves,Hand Interaction,MIN2 Selected
175.4403,1,Training,10,Body,Shelves,Hand Interaction,MIN3 Selected
177.5514,1,Training,10,Body,Shelves,Hand Interaction,MIN1 Selected
178.4958,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
179.3847,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
179.9847,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
180.8736,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
183.8624,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
184.3846,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
184.9624,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
185.5291,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
188.8179,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
189.4957,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
190.3957,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
191.2957,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
192.2623,1,Training,10,Body,Shelves,Foot Interaction,Right Foot Press
192.8845,1,Training,10,Body,Shelves,Foot Interaction,Left Foot Press
194.2734,1,Training,10,Body,Shelves,TaskBoard Button,Answer
196.4734,1,Training,10,Body,Shelves,TaskBoard Button,Confirm
196.4734,1,Training,10,Body,Shelves,Completion,113.5519
198.5067,2,1,10,Body,Shelves,TaskBoard Button,Start
199.4845,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
200.1067,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
208.1844,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
218.7509,2,1,10,Body,Shelves,Hand Interaction,MAX1 Selected
224.062,2,1,10,Body,Shelves,Hand Interaction,MAX3 Selected
227.4619,2,1,10,Body,Shelves,Hand Interaction,MAX2 Selected
228.073,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
229.0063,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
229.6063,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
231.0841,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
231.8952,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
232.7841,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
233.4063,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
236.484,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
237.6285,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
238.2618,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
238.9618,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
239.7618,2,1,10,Body,Shelves,Hand Interaction,YB1 Selected
241.4284,2,1,10,Body,Shelves,Hand Interaction,YB3 Selected
242.4951,2,1,10,Body,Shelves,Hand Interaction,YB2 Selected
246.6728,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
247.9061,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
248.695,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
249.4283,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
251.995,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
252.9839,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
253.9172,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
256.6394,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
261.5282,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
262.2504,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
263.0504,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
263.7171,2,1,10,Body,Shelves,Foot Interaction,Left Foot Press
264.8059,2,1,10,Body,Shelves,Foot Interaction,Right Foot Press
266.317,2,1,10,Body,Shelves,TaskBoard Button,Answer
267.7059,2,1,10,Body,Shelves,TaskBoard Button,Confirm
267.7059,2,1,10,Body,Shelves,Completion,67.81126
269.3726,3,2,10,Body,Shelves,TaskBoard Button,Start
289.3946,3,2,10,Body,Shelves,Hand Interaction,LS2 Selected
293.6723,3,2,10,Body,Shelves,Hand Interaction,LS1 Selected
295.35,3,2,10,Body,Shelves,Hand Interaction,LS3 Selected
296.5945,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
297.6056,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
298.4944,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
300.5389,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
301.2833,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
302.0611,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
314.2165,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
322.372,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
323.1831,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
327.1275,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
327.9164,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
329.2719,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
330.5719,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
331.583,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
332.683,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
335.9607,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
336.6718,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
339.4162,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
340.0718,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
340.8829,3,2,10,Body,Shelves,Foot Interaction,Right Foot Press
341.5829,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
346.8384,3,2,10,Body,Shelves,Hand Interaction,BR3 Selected
348.605,3,2,10,Body,Shelves,Hand Interaction,BR2 Selected
351.4494,3,2,10,Body,Shelves,Hand Interaction,BR1 Selected
353.8383,3,2,10,Body,Shelves,Foot Interaction,Left Foot Press
