TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
6.453262,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
20.70866,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
21.34199,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
22.01975,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
23.0753,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
27.37525,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
28.27524,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
35.8196,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
35.84182,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
42.7973,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
46.24171,1,Training,3,Floor,Body,TaskBoard Button,Start
51.73054,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
52.36386,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
62.73042,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
64.0304,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
65.3415,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
69.797,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
71.74142,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
77.20803,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
78.03024,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
78.70802,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
79.87466,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
82.23019,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
82.73019,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
84.93017,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
84.95238,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
84.97461,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
84.99683,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
85.01906,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
85.04128,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
85.0635,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
85.08572,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX2
85.10794,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
86.34126,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
87.07458,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
87.71902,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX1
87.74125,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX1
87.76347,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX1
87.78569,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX1
87.80791,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX1
87.83013,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX1
87.85236,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
88.47457,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.4968,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.51901,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.54124,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.56346,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.58568,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.6079,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.63013,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.65234,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.67457,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.69679,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
88.69679,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.71902,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.74123,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.76346,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.78568,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.8079,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.83012,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.85235,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
88.87457,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MAX3
89.35234,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
92.37453,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
94.49673,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
95.20783,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
96.77448,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
97.84113,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
98.59668,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
102.6966,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
103.2744,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
104.7188,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
104.8411,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
105.4299,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
105.9855,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
106.0077,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
106.0299,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
106.0522,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN1
106.0744,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
106.741,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
107.1855,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
107.8077,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
107.8299,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
107.8521,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
107.8744,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
107.8966,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN3
108.841,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
109.4299,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
109.9521,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
109.9743,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
109.9966,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
110.7521,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
111.1299,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
112.4076,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
113.0521,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
113.0743,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
113.0965,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
113.1187,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
113.141,1,Training,3,Floor,Body,Foot Interaction,Right Sliding MIN2
113.1632,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
114.0965,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
114.5854,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
114.9298,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
116.2965,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
125.6297,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
128.6741,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
130.9741,1,Training,3,Floor,Body,Foot Interaction,Left Foot Press
131.5074,1,Training,3,Floor,Body,Foot Interaction,Right Foot Press
132.3296,1,Training,3,Floor,Body,TaskBoard Button,Answer
133.5963,1,Training,3,Floor,Body,TaskBoard Button,Confirm
133.5963,1,Training,3,Floor,Body,Completion,86.10577
134.5852,2,1,3,Floor,Body,Foot Interaction,Right Foot Press
135.8074,2,1,3,Floor,Body,TaskBoard Button,Start
136.5074,2,1,3,Floor,Body,Foot Interaction,Right Foot Press
138.9851,2,1,3,Floor,Body,Foot Interaction,Right Foot Press
140.0629,2,1,3,Floor,Body,Foot Interaction,Left Foot Press
140.674,2,1,3,Floor,Body,Foot Interaction,Left Foot Press
141.4073,2,1,3,Floor,Body,Foot Interaction,Right Foot Press
145.485,2,1,3,Floor,Body,Foot Interaction,Left Foot Press
147.5961,2,1,3,Floor,Body,Foot Interaction,Right Foot Press
150.8183,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.8405,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.8628,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.885,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.9072,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.9294,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.9517,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.9739,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
150.9961,2,1,3,Floor,Body,Foot Interaction,Right Sliding MAX2
